cdp	depth	vel
7.0	17.8	1486.6098414033745
7.0	18.8	1467.7181034320924
7.0	19.8	1479.2815921700308
7.0	20.8	1373.407417204272
7.0	21.8	1302.1866053646522
7.0	22.8	1287.2329295071097
7.0	23.8	1292.6280889946313
7.0	24.8	1304.188798352696
7.0	25.8	1277.8266665730566
7.0	26.8	1285.4392692711424
7.0	27.8	1226.222784553526
7.0	28.8	1155.1904333602001
7.0	29.8	1114.962072217591
8.0	1.8	388.1580380990911
8.0	2.8	424.9160861591181
8.0	3.8	551.4997093342714
8.0	4.8	625.5996735885345
8.0	5.8	698.4220480591752
8.0	6.8	830.0224977949886
8.0	7.8	928.3218644369445
8.0	8.8	1137.855208404722
8.0	9.8	1430.9260769347677
8.0	10.8	1540.6665129971595
8.0	11.8	1675.4048013671052
8.0	12.8	1768.0667830721213
8.0	13.8	1793.1324607746574
8.0	14.8	1828.5731254454201
8.0	15.8	1687.229008630424
8.0	16.8	1561.1798960853248
8.0	17.8	1486.6098414033745
8.0	18.8	1467.7181034320924
8.0	19.8	1479.2815921700308
8.0	20.8	1373.407417204272
8.0	21.8	1302.1866053646522
8.0	22.8	1287.2329295071097
8.0	23.8	1292.6280889946313
8.0	24.8	1304.188798352696
8.0	25.8	1277.8266665730566
8.0	26.8	1285.4392692711424
8.0	27.8	1226.222784553526
8.0	28.8	1155.1904333602001
8.0	29.8	1114.962072217591
9.0	1.8	388.1580380990911
9.0	2.8	424.9160861591181
9.0	3.8	551.4997093342714
9.0	4.8	625.5996735885345
9.0	5.8	698.4220480591752
9.0	6.8	830.0224977949886
9.0	7.8	928.3218644369445
9.0	8.8	1137.855208404722
9.0	9.8	1430.9260769347677
9.0	10.8	1540.6665129971595
9.0	11.8	1675.4048013671052
9.0	12.8	1768.0667830721213
9.0	13.8	1793.1324607746574
9.0	14.8	1828.5731254454201
9.0	15.8	1687.229008630424
9.0	16.8	1561.1798960853248
9.0	17.8	1486.6098414033745
9.0	18.8	1467.7181034320924
9.0	19.8	1479.2815921700308
9.0	20.8	1373.407417204272
9.0	21.8	1302.1866053646522
9.0	22.8	1287.2329295071097
9.0	23.8	1292.6280889946313
9.0	24.8	1304.188798352696
9.0	25.8	1277.8266665730566
9.0	26.8	1285.4392692711424
9.0	27.8	1226.222784553526
9.0	28.8	1155.1904333602001
9.0	29.8	1114.962072217591
10.0	1.8	388.1580380990911
10.0	2.8	424.9160861591181
10.0	3.8	551.4997093342714
10.0	4.8	625.5996735885345
10.0	5.8	698.4220480591752
10.0	6.8	830.0224977949886
10.0	7.8	928.3218644369445
10.0	8.8	1137.855208404722
10.0	9.8	1430.9260769347677
